Date,Session,Observer,tblEvents.Area,Weather,Comments,Time,Cows,Cows edited by LH,Calves,Prime_Bulls,Raghorns,Spikes,Unk_Male,unknown elk_LH,Total adult males_LH,Total_Elk,Total_elk edited by LH,Harem,White_Bull,Red_Bull,White_Cow,Red_Cow,Behavior,Notes,Location_Code,Location_Name,tluLocations.Area,X_Coord,Y_Coord,Ranch,Pasture
08/22/2013,b,Bernot,D Ranch,,,19:00,10,Yes,,,,,,0,0,10,,1,,,x,1,fs,,mmm,directlry behind C ranch compound,D Ranch,501736.5633,4210265.451,C (Spaletta),Behind The Barn
04/05/2012,a,Bernot,D Ranch,,,10:15,10,Yes,,,,,,1,0,11,,1,,,,,,,q,east D plateau outer slope high,D Ranch,503421.1335,4209897.395,D (Nunes),Pasture B
12/10/2015,a,Bernot,D Ranch,,,9:20,10,Yes,,,,,,1,0,11,,1,,,,,,,hhh,DB tract near tunnel,D Ranch,503216.3458,4209467.767,Non-permit,Non-permit
07/29/2015,a,Bernot,D Ranch,,,5:40,10,Yes,,,,,,3,0,13,,1,,,,,,"hazed to WD, DBT, OH 614",mm,C ranch reservoir,D Ranch,502021.6333,4210092.33,C (Spaletta),Dam Field
10/30/2015,a,Bernot,D Ranch,,,7:16,10,Yes,,,,,,3,0,13,,1,,,,,ft,,ll,C center ridge near swamp just inside fence,D Ranch,502649.3995,4209623.597,C (Spaletta),Dam Field
10/24/2014,a,Bernot,D Ranch,c,,7:30,10,,3,,,,,0,0,13,,1,,,,x,f,,u,near outer horick,D Ranch,503483.6355,4209592.124,Non-permit,Non-permit
08/30/2012,a,Bernot,D Ranch,,,8:00,10,Yes,,,,,,4,0,14,,1,,,,,,,aa,above horseshoe pond outside permit,D Ranch,503977.6483,4209822.357,Non-permit,Non-permit
03/18/2013,a,Bernot,D Ranch,,,7:45,10,Yes,,,,,,4,0,14,,1,,,x,0,t,,s,D ranch complex,D Ranch,503292.2452,4209703.18,Non-permit,Non-permit
09/03/2014,a,Bernot,D Ranch,o,,7:11,10,Yes,,,,,,4,0,14,,1,,,,x,t,,ll,C center ridge near swamp just inside fence,D Ranch,502649.3995,4209623.597,C (Spaletta),Dam Field
08/22/2013,b,Bernot,D Ranch,,,19:00,10,Yes,,,,,,5,0,15,,1,,,x,x,fs,,yy,C ranch near SFD,D Ranch,501961.2338,4210598.075,C (Spaletta),Dam Field
