Total.Residence.hrs,Num.animals,Revisits,coordIdx,Avg.Residence.hrs,x,y
6.08,1,3,1,6.1,501445.700204127,4211546.5693432
387.53,2,69,2,193.8,502092.909217363,4211785.07026416
5.1,1,3,3,5.1,501948.231620417,4211992.26156329
6.6,1,3,4,6.6,501927.703163482,4211989.81571547
0.95,1,1,5,1,502021.799450588,4212288.70194915
68,1,13,6,68,501752.843011463,4212455.49112053
67.76,1,13,7,67.8,501752.843688906,4212452.34004932
16.73,1,4,8,16.7,501816.304658852,4212176.6463488
19.14,1,11,9,19.1,501989.5640629,4212018.35662682
277.56,2,56,10,138.8,502119.645780805,4211802.38585447
298,2,57,11,149,502104.72881546,4211811.5356224
0.72,1,1,12,0.7,502105.333284549,4212188.75427226
67.76,1,14,13,67.8,501728.455424116,4212454.44295373
20.08,1,11,14,20.1,501989.241170843,4212047.30422411
20.07,1,11,15,20.1,501985.881810156,4212044.38533745
5.79,1,2,16,5.8,501851.467599277,4212094.16058026
18.45,2,16,17,9.2,502031.092013477,4211892.4572482
307.89,2,55,18,153.9,502112.443295836,4211800.87502329
240.68,2,54,19,120.3,502123.159102384,4211753.31221019
147.67,2,32,20,73.8,502102.944625142,4211721.92943641
14.31,1,8,21,14.3,501990.090727391,4212089.10048416
62.5,1,13,22,62.5,501774.37229958,4212449.31568332
67.91,1,13,23,67.9,501759.545033045,4212456.60209631
32.67,1,9,24,32.7,501708.261855492,4212491.8077422
29.14,1,7,25,29.1,501732.242264874,4212509.47655529
235.91,2,56,26,118,502126.509760632,4211756.23114977
235.79,2,55,27,117.9,502128.184884725,4211758.47283939
308.37,2,61,28,154.2,502105.38461609,4211752.07602258
191.24,2,48,29,95.6,502059.376992639,4211752.76327915
25.27,1,8,30,25.3,501949.344283853,4211778.41078278
28.02,1,8,31,28,501957.730018351,4211784.91464348
3.4,1,2,32,3.4,501924.456963464,4212064.81927509
13.51,1,8,33,13.5,501769.71587376,4212562.154102
386.07,2,70,34,193,502083.937017236,4211773.71746385
378.47,2,65,35,189.2,502087.381438563,4211787.37667198
386.26,2,67,36,193.1,502095.672497761,4211786.29145797
163.92,2,41,37,82,502046.901385687,4211787.33312507
11.49,1,2,38,11.5,501901.314522229,4211722.86741772
11.16,1,2,39,11.2,501890.166437447,4211710.4269846
11.16,1,2,40,11.2,501890.166437447,4211710.4269846
386.44,2,69,41,193.2,502097.348434556,4211785.38207335
390.17,2,67,42,195.1,502097.263463543,4211774.64179095
344.7,2,66,43,172.3,502076.640330318,4211763.03081872
378.47,2,65,44,189.2,502087.381438563,4211787.37667198
11.66,1,9,45,11.7,501790.071857629,4212544.69450693
69.55,1,14,46,69.5,501742.281084563,4212454.20179937
67.81,1,13,47,67.8,501750.659205205,4212452.83886945
68.91,1,14,48,68.9,501728.039923403,4212469.48812202
13.77,1,7,49,13.8,501753.705941127,4212562.8940292
381.54,2,70,50,190.8,502105.648270432,4211784.29687175
