"x","y","species","img"
502572.000000803,4213121.99989082,"COW","2015Apr25"
502551.000018209,4213114.49989172,"COW","2015Apr25"
502523.700017312,4213199.09988717,"COW","2015Apr25"
502578.899978349,4213058.9998834,"COW","2015Apr25"
502582.199969373,4213059.59988743,"COW","2015Apr25"
502641.599971969,4213062.59989208,"COW","2015Apr25"
502641.899995409,4213042.4998842,"COW","2015Apr25"
502647.900037178,4213039.1998933,"COW","2015Apr25"
502660.80002159,4213020.59988425,"COW","2015Apr25"
502675.800033381,4212993.59988778,"COW","2015Apr25"
502725.300022748,4212938.39989257,"COW","2015Apr25"
502631.400028012,4212904.49989036,"COW","2015Apr25"
502666.20001437,4213004.09989407,"COW","2015Apr25"
502686.000043532,4212832.79989428,"COW","2015Apr25"
502692.599973143,4212825.89988923,"COW","2015Apr25"
502591.800001629,4212839.09988575,"COW","2015Apr25"
502586.69997086,4212855.59989411,"COW","2015Apr25"
502595.100015078,4212848.99988867,"COW","2015Apr25"
502587.59996989,4212814.49988571,"COW","2015Apr25"
502548.60004361,4212862.49988469,"COW","2015Apr25"
502787.099969053,4212890.99988814,"COW","2015Apr25"
502783.200017129,4212877.49988841,"COW","2015Apr25"
502682.999987965,4212252.89988327,"COW","2015Apr25"
502677.599956567,4212265.49988332,"COW","2015Apr25"
502671.300016463,4212268.49988857,"COW","2015Apr25"
502665.600010417,4212277.79988409,"COW","2015Apr25"
502652.100027248,4212282.59988838,"COW","2015Apr25"
502668.300008619,4212270.29988742,"COW","2015Apr25"
502655.699994592,4212259.79989018,"COW","2015Apr25"
502577.550013396,4212231.74988827,"COW","2015Apr25"
502577.400030904,4212226.64988874,"COW","2015Apr25"
502572.900035856,4212227.09989168,"COW","2015Apr25"
502570.949960947,4212229.19988667,"COW","2015Apr25"
502570.500029489,4212227.99988597,"COW","2015Apr25"
502569.300039755,4212229.79988964,"COW","2015Apr25"
502567.950014872,4212228.59989398,"COW","2015Apr25"
502568.850041211,4212223.79988775,"COW","2015Apr25"
502570.950010486,4212223.19989345,"COW","2015Apr25"
502566.900034796,4212232.64988725,"COW","2015Apr25"
502573.350019979,4212229.79989085,"COW","2015Apr25"
502571.100022983,4212230.99989425,"COW","2015Apr25"
502155.600004315,4212371.09989093,"COW","2015Apr25"
502153.199990277,4212371.69989086,"COW","2015Apr25"
502154.399960271,4212373.19988466,"COW","2015Apr25"
502151.999989666,4212375.29988355,"COW","2015Apr25"
502149.599995787,4212373.49988901,"COW","2015Apr25"
502152.899984116,4212369.29989379,"COW","2015Apr25"
502149.899971273,4212368.69988831,"COW","2015Apr25"
502150.199978341,4212371.09988526,"COW","2015Apr25"
502148.399991196,4212367.79988434,"COW","2015Apr25"
502146.600038131,4212359.69989287,"COW","2015Apr25"
502146.600038131,4212359.69989287,"COW","2015Apr25"
502148.700004012,4212355.19988449,"COW","2015Apr25"
502142.550025574,4212380.09989344,"COW","2015Apr25"
502141.200023767,4212377.99989358,"COW","2015Apr25"
502137.149996235,4212375.44989188,"COW","2015Apr25"
502127.700010252,4212372.2998887,"COW","2015Apr25"
502127.700010252,4212372.2998887,"COW","2015Apr25"
502126.35003296,4212369.74988733,"COW","2015Apr25"
502125.600030595,4212364.79989175,"COW","2015Apr25"
502123.049994299,4212365.09988835,"COW","2015Apr25"
502123.049994299,4212365.09988835,"COW","2015Apr25"
502124.549993366,4212387.14988781,"COW","2015Apr25"
502124.399991999,4212384.74988644,"COW","2015Apr25"
502127.999994809,4212383.5498899,"COW","2015Apr25"
502119.15002678,4212387.29988926,"COW","2015Apr25"
502120.050035697,4212370.34989053,"COW","2015Apr25"
502120.050035697,4212370.34989053,"COW","2015Apr25"
502119.300000419,4212407.69988536,"COW","2015Apr25"
502118.999956825,4212417.89989158,"COW","2015Apr25"
502111.200014259,4212409.49988603,"COW","2015Apr25"
502114.499958315,4212404.99989084,"COW","2015Apr25"
502122.899987488,4212395.3998943,"COW","2015Apr25"
502254.29997357,4212221.69989086,"COW","2015Apr25"
502257.000028363,4212218.3998916,"COW","2015Apr25"
